MsgID.LOCAL_VELOCITY,1522203214.2752032,7.4537535,5.0063438,-0.2361148
MsgID.STATE,1522203214.5080128,True,True
MsgID.GLOBAL_HOME,1522203214.5085447,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203214.5204139,-122.3970678,37.7926575,3.9980000
MsgID.LOCAL_VELOCITY,1522203214.5204139,7.3900000,4.9600000,-0.1100000
MsgID.LOCAL_POSITION,1522203214.5583699,19.7317181,34.2893181,-3.9991238
MsgID.LOCAL_VELOCITY,1522203214.5583699,7.3946733,4.9683700,-0.1158183
MsgID.GLOBAL_POSITION,1522203214.7711747,-122.3970562,37.7926758,4.0040000
MsgID.LOCAL_VELOCITY,1522203214.7711747,7.3400000,4.9300000,0.0700000
MsgID.LOCAL_POSITION,1522203214.7752903,21.7575302,35.3181190,-4.0043154
MsgID.LOCAL_VELOCITY,1522203214.7752903,7.3448272,4.9389148,0.0731895
MsgID.GLOBAL_POSITION,1522203215.0201571,-122.3970412,37.7926920,3.9910000
MsgID.LOCAL_VELOCITY,1522203215.0201571,7.3400000,4.9500000,0.0800000
MsgID.LOCAL_POSITION,1522203215.0245323,23.5139389,36.6281204,-3.9913063
MsgID.LOCAL_VELOCITY,1522203215.0245323,7.3497701,4.9560642,0.0870575
MsgID.GLOBAL_POSITION,1522203215.2701678,-122.3970245,37.7927089,3.9880000
MsgID.LOCAL_VELOCITY,1522203215.2701678,7.3700000,4.9700000,0.0200000
MsgID.LOCAL_POSITION,1522203215.2743790,25.3846874,38.1085854,-3.9880598
MsgID.LOCAL_VELOCITY,1522203215.2743790,7.3748016,4.9706082,0.0211184
MsgID.STATE,1522203215.5080569,True,True
MsgID.GLOBAL_HOME,1522203215.5084529,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203215.5205557,-122.3970115,37.7927255,4.0000000
MsgID.LOCAL_VELOCITY,1522203215.5205557,7.3600000,4.9400000,0.1500000
MsgID.LOCAL_POSITION,1522203215.5583656,27.2897129,39.3061714,-3.9995921
MsgID.LOCAL_VELOCITY,1522203215.5583656,7.3584042,4.9423032,0.1627462
MsgID.GLOBAL_POSITION,1522203215.7712021,-122.3969960,37.7927427,3.9890000
MsgID.LOCAL_VELOCITY,1522203215.7712021,7.3600000,4.9500000,0.1200000
MsgID.LOCAL_POSITION,1522203215.7753859,29.2037945,40.6908913,-3.9897277
MsgID.LOCAL_VELOCITY,1522203215.7753859,7.3648133,4.9552865,0.1176745
MsgID.GLOBAL_POSITION,1522203216.0210357,-122.3969824,37.7927597,3.9970000
MsgID.LOCAL_VELOCITY,1522203216.0210357,7.3700000,4.9500000,0.1400000
MsgID.LOCAL_POSITION,1522203216.0253177,31.0301723,41.8562202,-3.9979796
MsgID.LOCAL_VELOCITY,1522203216.0253177,7.3731980,4.9544935,0.1458047
MsgID.GLOBAL_POSITION,1522203216.2724898,-122.3969693,37.7927766,3.9880000
MsgID.LOCAL_VELOCITY,1522203216.2724898,7.3800000,4.9500000,0.0600000
MsgID.LOCAL_POSITION,1522203216.2768924,32.9081612,43.0141144,-3.9888310
MsgID.LOCAL_VELOCITY,1522203216.2768924,7.3853765,4.9548717,0.0698255
MsgID.STATE,1522203216.5071344,True,True
MsgID.GLOBAL_HOME,1522203216.5091259,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203216.5464575,-122.3969561,37.7927917,3.9870000
MsgID.LOCAL_VELOCITY,1522203216.5464575,7.3700000,4.9600000,0.0300000
MsgID.LOCAL_POSITION,1522203216.5468411,34.6493416,44.2397003,-3.9875145
